flow,S2C_attempted_bps,S2C_achieved_bps,S2C_target_miss_rate_%,C2S_attempted_bps,C2S_achieved_bps,C2S_target_miss_rate_%,C2S_network_loss_rate_%
F1,0,0,0,300000,299866,0,0
F2,0,0,0,300000,299482,0.20,0.20
F3,0,0,0,300000,299361,0.20,0.20
F4,0,0,0,300000,299801,0.10,0.10
F5,0,0,0,300000,299072,0.30,0.30
F6,0,0,0,300000,299318,0.20,0.20
F7,0,0,0,300000,299545,0.20,0.20
F8,0,0,0,300000,299131,0.30,0.30
F9,0,0,0,300000,299428,0.20,0.20
F10,0,0,0,300000,299967,0,0
F11,0,0,0,299986,299420,0.20,0.20
F12,0,0,0,299986,299601,0.10,0.10
F13,0,0,0,299985,299845,0,0
F14,0,0,0,299985,299383,0.20,0.20
F15,0,0,0,299985,299663,0.10,0.10
F16,0,0,0,299985,299715,0.10,0.10
F17,0,0,0,299984,299157,0.30,0.30
F18,0,0,0,299984,298949,0.30,0.30
F19,0,0,0,299983,299309,0.20,0.20
F20,0,0,0,299983,299522,0.20,0.20
